entity,total_receipts,total_disposal,total_pending,pending_gt_1yr,pending_6_12m,pending_2_6m,pending_lt_2m,entity_type,disposal_rate_pct,pendency_rate_pct,chronic_pendency_pct
Administrative Reforms and PG,1540,1497,43,0,0,1,42,Central Ministry/Department,97.21,2.79,0.0
Agriculture and Cooperation,21317,20557,760,7,21,141,591,Central Ministry/Department,96.43,3.57,0.92
Agriculture Research and Education,6535,6245,290,0,31,65,194,Central Ministry/Department,95.56,4.44,0.0
"Animal Husbandry, Dairying",4835,4702,133,12,16,28,77,Central Ministry/Department,97.25,2.75,9.02
Atomic Energy,5838,5279,559,346,73,59,81,Central Ministry/Department,90.42,9.58,61.9
Ayush,9221,9003,218,0,9,76,133,Central Ministry/Department,97.64,2.36,0.0
Bio Technology,959,906,53,19,11,10,13,Central Ministry/Department,94.47,5.53,35.85
Central Board of Direct Taxes (Income Tax),140684,138030,2654,0,25,623,2006,Central Ministry/Department,98.11,1.89,0.0
Central Board of Excise and Customs,64611,63682,929,1,4,66,858,Central Ministry/Department,98.56,1.44,0.11
Chemicals and Petrochemicals,2100,2083,17,0,1,1,15,Central Ministry/Department,99.19,0.81,0.0
Civil Aviation,22937,22419,518,6,38,175,299,Central Ministry/Department,97.74,2.26,1.16
Coal,18391,17597,794,139,133,171,351,Central Ministry/Department,95.68,4.32,17.51
Commerce,15401,15121,280,5,3,36,236,Central Ministry/Department,98.18,1.82,1.79
Consumer Affairs,31680,30930,750,1,0,9,740,Central Ministry/Department,97.63,2.37,0.13
Corporate Affairs,31700,30973,727,57,85,211,374,Central Ministry/Department,97.71,2.29,7.84
Culture,7814,7318,496,41,105,146,204,Central Ministry/Department,93.65,6.35,8.27
Defence,57343,54485,2858,113,453,947,1345,Central Ministry/Department,95.02,4.98,3.95
Defence Finance,28350,27040,1310,0,12,188,1110,Central Ministry/Department,95.38,4.62,0.0
Defence Production,9261,9179,82,0,0,1,81,Central Ministry/Department,99.11,0.89,0.0
